"Periodo";"Municipios";"Sexo";"Edad";"Valor"
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";6789
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";4294
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";6075
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";5232
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";5584
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";6771
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";6127
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4977
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";3001
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1313
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 90 a 94 años";469
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"Total";92986
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"95 y más años";26
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";1885
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";2125
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";1950
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";2283
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2549
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";3331
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";4044
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";3925
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";3570
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";2189
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";3039
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";2517
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2645
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";3234
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 70 a 74 años";2919
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 75 a 79 años";2523
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 80 a 84 años";1456
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 85 a 89 años";548
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"De 90 a 94 años";175
"1 de enero de 2014";"03133 - Torrevieja";"Hombres";"Total";46934
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"95 y más años";69
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 0 a 4 años";1659
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";1949
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";1835
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";2063
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2575
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";3181
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";3493
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3414
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3220
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";2104
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";3036
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";2714
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";2939
