Playa;Fecha;E_Coli (UFC/100 mL);Enterococo (NMP/100 mL);Estado
PLAYA DE TORRELAMATA;2024-06-11;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-06-04;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-05-27;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-09-12;6.0;52.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-09-05;1.0;20.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-08-29;2.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-08-22;1.0;41.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-08-14;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-08-08;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-08-01;17.0;20.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-07-25;10.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-07-18;3.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-07-11;12.0;10.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-07-05;3.0;63.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-06-27;5.0;10.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-06-21;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-06-13;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-06-06;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2023-05-18;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2025-09-09;2.0;20.0;Zona Apta para el baño
PLAYA DEL CURA;2025-09-02;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2025-08-26;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2025-08-19;20.0;20.0;Zona Apta para el baño
PLAYA DEL CURA;2025-08-12;36.0;73.0;Zona Apta para el baño
PLAYA DEL CURA;2025-08-05;6.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2025-07-29;5.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2025-07-22;14.0;10.0;Zona Apta para el baño
PLAYA DEL CURA;2025-07-15;25.0;10.0;Zona Apta para el baño
PLAYA DEL CURA;2025-07-08;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2025-07-01;18.0;52.0;Zona Apta para el baño
PLAYA DEL CURA;2025-06-20;6.0;10.0;Zona Apta para el baño
PLAYA DEL CURA;2025-06-10;10.0;9.0;Zona Apta para el baño
PLAYA DEL CURA;2025-05-27;230.0;9.0;Zona Apta para el baño
PLAYA DEL CURA;2024-09-03;9.0;41.0;Zona Apta para el baño
PLAYA DEL CURA;2024-08-27;19.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-08-20;3.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-08-13;10.0;10.0;Zona Apta para el baño
PLAYA DEL CURA;2024-08-06;11.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-07-30;5.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-07-23;10.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-07-16;27.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-07-09;21.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-07-02;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-06-26;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-06-18;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-06-11;3.0;20.0;Zona Apta para el baño
PLAYA DEL CURA;2024-06-04;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2024-05-27;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-09-12;1.0;20.0;Zona Apta para el baño
PLAYA DEL CURA;2023-09-05;22.0;20.0;Zona Apta para el baño
PLAYA DEL CURA;2023-08-29;7.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-08-22;10.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-08-14;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-08-08;26.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-08-01;11.0;10.0;Zona Apta para el baño
PLAYA DEL CURA;2023-07-18;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-07-11;9.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-07-05;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-06-27;8.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-06-21;27.0;20.0;Zona Apta para el baño
PLAYA DEL CURA;2023-06-13;1.0;20.0;Zona Apta para el baño
