Estacion;Fecha Toma;Cod. Parametro;Nom. Parametro;Unidades;Valor;Valor texto;Coord. X;Coord. Y;Cod Masa;Nombre Masa;Municipio;Provincia;UH Geo;UH Geo Nombre;Acuifero;Profundidad;Nombre C.A;Mes
CA0748001;2019-01-16;MG;MAGNESIO;mg/L Mg;300;30;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;MN;MANGANESO;µg/L Mn;0;< 5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;;SODIO;mg/L Na;2220;> 200 (222)*;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;NAFTALENO;Naftaleno (naftalina);µg/L;0;< 0,5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;N-BUB;N-BUTILBENCENO;µg/L;0;< 0,5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;NH4;AMONIO;mg/L NH4;0;< 0,10;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;NI;NIQUEL;µg/L Ni;0;< 5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;NO2;Nitritos;mg/L NO2;0;< 0,020;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;NO3;Nitratos;mg/L NO3;380;38;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;NTOTAL;Nitrógeno total;mg/L N;81;8,1;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
