Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Otros motivos;Gasto medio diario por persona;Dato base;2023M08;110
Otros motivos;Gasto medio diario por persona;Dato base;2023M07;120
Otros motivos;Gasto medio diario por persona;Dato base;2023M06;129
Otros motivos;Gasto medio diario por persona;Dato base;2023M05;140
Otros motivos;Gasto medio diario por persona;Dato base;2023M04;115
Otros motivos;Gasto medio diario por persona;Dato base;2023M03;107
Otros motivos;Gasto medio diario por persona;Dato base;2023M02;108
Otros motivos;Gasto medio diario por persona;Dato base;2023M01;101
Otros motivos;Gasto medio diario por persona;Dato base;2022M12;98
Otros motivos;Gasto medio diario por persona;Dato base;2022M11;112
Otros motivos;Gasto medio diario por persona;Dato base;2022M10;115
Otros motivos;Gasto medio diario por persona;Dato base;2022M09;117
Otros motivos;Gasto medio diario por persona;Dato base;2022M08;121
Otros motivos;Gasto medio diario por persona;Dato base;2022M07;114
Otros motivos;Gasto medio diario por persona;Dato base;2022M06;119
Otros motivos;Gasto medio diario por persona;Dato base;2022M05;125
Otros motivos;Gasto medio diario por persona;Dato base;2022M04;103
Otros motivos;Gasto medio diario por persona;Dato base;2022M03;102
Otros motivos;Gasto medio diario por persona;Dato base;2022M02;95
Otros motivos;Gasto medio diario por persona;Dato base;2022M01;83
Otros motivos;Gasto medio diario por persona;Dato base;2021M12;84
Otros motivos;Gasto medio diario por persona;Dato base;2021M11;98
Otros motivos;Gasto medio diario por persona;Dato base;2021M10;97
Otros motivos;Gasto medio diario por persona;Dato base;2021M09;95
Otros motivos;Gasto medio diario por persona;Dato base;2021M08;88
Otros motivos;Gasto medio diario por persona;Dato base;2021M07;97
Otros motivos;Gasto medio diario por persona;Dato base;2021M06;110
Otros motivos;Gasto medio diario por persona;Dato base;2021M05;131
Otros motivos;Gasto medio diario por persona;Dato base;2021M04;94
Otros motivos;Gasto medio diario por persona;Dato base;2021M03;116
Otros motivos;Gasto medio diario por persona;Dato base;2021M02;79
Otros motivos;Gasto medio diario por persona;Dato base;2021M01;70
Otros motivos;Gasto medio diario por persona;Dato base;2020M12;80
Otros motivos;Gasto medio diario por persona;Dato base;2020M11;91
Otros motivos;Gasto medio diario por persona;Dato base;2020M10;71
Otros motivos;Gasto medio diario por persona;Dato base;2020M09;86
Otros motivos;Gasto medio diario por persona;Dato base;2020M08;74
Otros motivos;Gasto medio diario por persona;Dato base;2020M07;73
Otros motivos;Gasto medio diario por persona;Dato base;2020M06;70
Otros motivos;Gasto medio diario por persona;Dato base;2020M05;0
Otros motivos;Gasto medio diario por persona;Dato base;2020M04;0
Otros motivos;Gasto medio diario por persona;Dato base;2020M03;106
Otros motivos;Gasto medio diario por persona;Dato base;2020M02;99
Otros motivos;Gasto medio diario por persona;Dato base;2020M01;92
Otros motivos;Gasto medio diario por persona;Dato base;2019M12;88
Otros motivos;Gasto medio diario por persona;Dato base;2019M11;104
Otros motivos;Gasto medio diario por persona;Dato base;2019M10;124
Otros motivos;Gasto medio diario por persona;Dato base;2019M09;99
Otros motivos;Gasto medio diario por persona;Dato base;2019M08;90
Otros motivos;Gasto medio diario por persona;Dato base;2019M07;98
Otros motivos;Gasto medio diario por persona;Dato base;2019M06;111
Otros motivos;Gasto medio diario por persona;Dato base;2019M05;97
Otros motivos;Gasto medio diario por persona;Dato base;2019M04;98
Otros motivos;Gasto medio diario por persona;Dato base;2019M03;106
Otros motivos;Gasto medio diario por persona;Dato base;2019M02;104
Otros motivos;Gasto medio diario por persona;Dato base;2019M01;95
Otros motivos;Gasto medio diario por persona;Dato base;2018M12;91
Otros motivos;Gasto medio diario por persona;Dato base;2018M11;99
Otros motivos;Gasto medio diario por persona;Dato base;2018M10;110
Otros motivos;Gasto medio diario por persona;Dato base;2018M09;108
Otros motivos;Gasto medio diario por persona;Dato base;2018M08;104
Otros motivos;Gasto medio diario por persona;Dato base;2018M07;105
Otros motivos;Gasto medio diario por persona;Dato base;2018M06;114
Otros motivos;Gasto medio diario por persona;Dato base;2018M05;110
Otros motivos;Gasto medio diario por persona;Dato base;2018M04;96
Otros motivos;Gasto medio diario por persona;Dato base;2018M03;103
Otros motivos;Gasto medio diario por persona;Dato base;2018M02;95
Otros motivos;Gasto medio diario por persona;Dato base;2018M01;93
Otros motivos;Duración media de los viajes;Dato base;2026M02;13,45
Otros motivos;Duración media de los viajes;Dato base;2026M01;17,78
Otros motivos;Duración media de los viajes;Dato base;2025M12;20,63
Otros motivos;Duración media de los viajes;Dato base;2025M11;12,48
Otros motivos;Duración media de los viajes;Dato base;2025M10;8,90
Otros motivos;Duración media de los viajes;Dato base;2025M09;10,85
Otros motivos;Duración media de los viajes;Dato base;2025M08;10,07
Otros motivos;Duración media de los viajes;Dato base;2025M07;9,83
Otros motivos;Duración media de los viajes;Dato base;2025M06;13,94
Otros motivos;Duración media de los viajes;Dato base;2025M05;10,67
Otros motivos;Duración media de los viajes;Dato base;2025M04;11,12
Otros motivos;Duración media de los viajes;Dato base;2025M03;10,12
Otros motivos;Duración media de los viajes;Dato base;2025M02;10,94
Otros motivos;Duración media de los viajes;Dato base;2025M01;13,68
Otros motivos;Duración media de los viajes;Dato base;2024M12;18,68
Otros motivos;Duración media de los viajes;Dato base;2024M11;11,02
Otros motivos;Duración media de los viajes;Dato base;2024M10;9,69
Otros motivos;Duración media de los viajes;Dato base;2024M09;10,53
Otros motivos;Duración media de los viajes;Dato base;2024M08;10,32
Otros motivos;Duración media de los viajes;Dato base;2024M07;12,39
Otros motivos;Duración media de los viajes;Dato base;2024M06;14,10
Otros motivos;Duración media de los viajes;Dato base;2024M05;11,72
Otros motivos;Duración media de los viajes;Dato base;2024M04;10,45
Otros motivos;Duración media de los viajes;Dato base;2024M03;12,23
Otros motivos;Duración media de los viajes;Dato base;2024M02;12,54
Otros motivos;Duración media de los viajes;Dato base;2024M01;14,12
Otros motivos;Duración media de los viajes;Dato base;2023M12;16,43
Otros motivos;Duración media de los viajes;Dato base;2023M11;10,36
Otros motivos;Duración media de los viajes;Dato base;2023M10;10,14
Otros motivos;Duración media de los viajes;Dato base;2023M09;10,83
Otros motivos;Duración media de los viajes;Dato base;2023M08;11,08
Otros motivos;Duración media de los viajes;Dato base;2023M07;11,43
Otros motivos;Duración media de los viajes;Dato base;2023M06;10,98
Otros motivos;Duración media de los viajes;Dato base;2023M05;10,21
Otros motivos;Duración media de los viajes;Dato base;2023M04;10,31
Otros motivos;Duración media de los viajes;Dato base;2023M03;11,92
Otros motivos;Duración media de los viajes;Dato base;2023M02;12,72
Otros motivos;Duración media de los viajes;Dato base;2023M01;13,40
Otros motivos;Duración media de los viajes;Dato base;2022M12;16,97
Otros motivos;Duración media de los viajes;Dato base;2022M11;11,65
Otros motivos;Duración media de los viajes;Dato base;2022M10;9,40
Otros motivos;Duración media de los viajes;Dato base;2022M09;11,10
Otros motivos;Duración media de los viajes;Dato base;2022M08;10,41
Otros motivos;Duración media de los viajes;Dato base;2022M07;12,40
Otros motivos;Duración media de los viajes;Dato base;2022M06;12,81
Otros motivos;Duración media de los viajes;Dato base;2022M05;9,47
Otros motivos;Duración media de los viajes;Dato base;2022M04;11,08
Otros motivos;Duración media de los viajes;Dato base;2022M03;11,48
Otros motivos;Duración media de los viajes;Dato base;2022M02;12,92
Otros motivos;Duración media de los viajes;Dato base;2022M01;14,53
Otros motivos;Duración media de los viajes;Dato base;2021M12;17,42
Otros motivos;Duración media de los viajes;Dato base;2021M11;10,92
Otros motivos;Duración media de los viajes;Dato base;2021M10;11,34
Otros motivos;Duración media de los viajes;Dato base;2021M09;12,05
Otros motivos;Duración media de los viajes;Dato base;2021M08;13,64
Otros motivos;Duración media de los viajes;Dato base;2021M07;12,99
Otros motivos;Duración media de los viajes;Dato base;2021M06;11,07
Otros motivos;Duración media de los viajes;Dato base;2021M05;8,67
Otros motivos;Duración media de los viajes;Dato base;2021M04;10,74
Otros motivos;Duración media de los viajes;Dato base;2021M03;9,81
Otros motivos;Duración media de los viajes;Dato base;2021M02;12,47
Otros motivos;Duración media de los viajes;Dato base;2021M01;11,47
Otros motivos;Duración media de los viajes;Dato base;2020M12;12,59
Otros motivos;Duración media de los viajes;Dato base;2020M11;9,54
Otros motivos;Duración media de los viajes;Dato base;2020M10;9,59
Otros motivos;Duración media de los viajes;Dato base;2020M09;8,37
Otros motivos;Duración media de los viajes;Dato base;2020M08;10,60
Otros motivos;Duración media de los viajes;Dato base;2020M07;11,20
Otros motivos;Duración media de los viajes;Dato base;2020M06;7,51
Otros motivos;Duración media de los viajes;Dato base;2020M05;0,00
Otros motivos;Duración media de los viajes;Dato base;2020M04;0,00
Otros motivos;Duración media de los viajes;Dato base;2020M03;8,61
Otros motivos;Duración media de los viajes;Dato base;2020M02;12,74
Otros motivos;Duración media de los viajes;Dato base;2020M01;12,59
Otros motivos;Duración media de los viajes;Dato base;2019M12;16,50
Otros motivos;Duración media de los viajes;Dato base;2019M11;10,87
Otros motivos;Duración media de los viajes;Dato base;2019M10;8,29
Otros motivos;Duración media de los viajes;Dato base;2019M09;10,39
Otros motivos;Duración media de los viajes;Dato base;2019M08;10,66
Otros motivos;Duración media de los viajes;Dato base;2019M07;11,28
Otros motivos;Duración media de los viajes;Dato base;2019M06;11,41
Otros motivos;Duración media de los viajes;Dato base;2019M05;9,44
Otros motivos;Duración media de los viajes;Dato base;2019M04;9,72
Otros motivos;Duración media de los viajes;Dato base;2019M03;8,94
Otros motivos;Duración media de los viajes;Dato base;2019M02;11,43
Otros motivos;Duración media de los viajes;Dato base;2019M01;12,27
Otros motivos;Duración media de los viajes;Dato base;2018M12;15,32
Otros motivos;Duración media de los viajes;Dato base;2018M11;9,31
Otros motivos;Duración media de los viajes;Dato base;2018M10;8,98
Otros motivos;Duración media de los viajes;Dato base;2018M09;9,39
Otros motivos;Duración media de los viajes;Dato base;2018M08;8,88
Otros motivos;Duración media de los viajes;Dato base;2018M07;11,06
Otros motivos;Duración media de los viajes;Dato base;2018M06;11,83
Otros motivos;Duración media de los viajes;Dato base;2018M05;8,77
Otros motivos;Duración media de los viajes;Dato base;2018M04;10,20
Otros motivos;Duración media de los viajes;Dato base;2018M03;10,17
Otros motivos;Duración media de los viajes;Dato base;2018M02;13,21
Otros motivos;Duración media de los viajes;Dato base;2018M01;13,99
