Sexo;Provincias;Municipios;Nacionalidad;Edad (grandes grupos);Periodo;Total
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2019;6.914
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2018;6.618
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2017;6.364
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2016;6.050
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2015;7.713
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2014;9.365
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2013;16.397
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2012;15.472
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2011;14.360
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2010;13.246
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2009;12.377
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2008;11.423
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2007;10.066
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2006;9.131
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2005;7.899
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2004;6.179
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2003;9.212
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2022;41.023
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2021;40.721
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2020;41.717
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2019;41.269
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2018;41.038
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2017;41.527
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2016;42.302
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2015;44.526
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2014;46.089
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2013;53.027
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2012;52.271
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2011;51.446
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2010;51.161
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2009;51.781
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2008;52.035
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2007;48.362
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2006;47.714
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2005;43.440
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2004;38.709
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2003;39.515
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2022;6.084
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2021;6.134
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2020;6.380
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2019;6.353
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2018;6.336
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2017;6.428
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2016;6.546
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2015;6.689
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2014;6.651
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2013;7.006
