;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2022;1;Andalucía;14;Córdoba;14043;Montoro;682;30;96;168;29;171;188;202;53;71;320;36
Enero de 2022;1;Andalucía;14;Córdoba;14044;Monturque;104;7;14;20;9;31;23;25;10;12;50;7
Enero de 2022;1;Andalucía;14;Córdoba;14045;Moriles;183;14;23;55;10;50;31;26;14;33;95;15
Enero de 2022;1;Andalucía;14;Córdoba;14046;Nueva Carteya;159;6;30;40;8;45;30;50;6;23;61;19
Enero de 2022;1;Andalucía;14;Córdoba;14047;Obejo;212;7;27;56;14;46;62;15;9;31;149;8
Enero de 2022;1;Andalucía;14;Córdoba;14048;Palenciana;79;6;16;16;<5;28;9;17;<5;<5;48;6
Enero de 2022;1;Andalucía;14;Córdoba;14049;Palma del Río;1576;81;233;322;78;470;392;364;96;108;903;105
Enero de 2022;1;Andalucía;14;Córdoba;14050;Pedro Abad;252;14;37;50;12;65;74;46;18;22;153;13
Enero de 2022;1;Andalucía;14;Córdoba;14051;Pedroche;140;11;14;28;10;37;40;10;<5;40;79;8
Enero de 2022;1;Andalucía;14;Córdoba;14052;Peíarroya-Pueblonuevo;1415;59;228;265;66;402;395;73;68;136;1012;126
Enero de 2022;1;Andalucía;14;Córdoba;14053;Posadas;616;32;98;113;37;167;169;115;38;42;382;39
Enero de 2022;1;Andalucía;14;Córdoba;14054;Pozoblanco;1383;59;185;253;71;354;461;155;113;194;778;143
Enero de 2022;1;Andalucía;14;Córdoba;14055;Priego de Córdoba;1568;54;202;289;61;442;520;183;235;105;923;122
Enero de 2022;1;Andalucía;14;Córdoba;14056;Puente Genil;2990;173;488;539;171;859;760;535;428;232;1466;329
Enero de 2022;1;Andalucía;14;Córdoba;14057;Rambla, La;435;18;72;86;21;143;95;65;71;26;234;39
Enero de 2022;1;Andalucía;14;Córdoba;14058;Rute;491;20;56;116;24;142;133;80;79;41;251;40
Enero de 2022;1;Andalucía;14;Córdoba;14059;San Sebastián de los Ballesteros;51;<5;9;16;<5;15;7;9;<5;8;27;<5
Enero de 2022;1;Andalucía;14;Córdoba;14060;Santaella;214;<5;33;54;9;77;37;47;31;17;114;5
Enero de 2022;1;Andalucía;14;Córdoba;14061;Santa Eufemia;72;<5;10;17;<5;15;23;11;<5;12;43;<5
Enero de 2022;1;Andalucía;14;Córdoba;14062;Torrecampo;76;<5;9;17;5;27;15;6;<5;9;56;<5
Enero de 2022;1;Andalucía;14;Córdoba;14063;Valenzuela;23;<5;<5;6;<5;<5;7;<5;0;<5;16;<5
Enero de 2022;1;Andalucía;14;Córdoba;14064;Valsequillo;41;<5;7;5;<5;13;11;7;<5;16;15;<5
Enero de 2022;1;Andalucía;14;Córdoba;14065;Victoria, La;182;13;37;46;7;40;39;30;5;33;99;15
Enero de 2022;1;Andalucía;14;Córdoba;14066;Villa del Río;543;21;87;119;27;131;158;96;106;24;279;38
Enero de 2022;1;Andalucía;14;Córdoba;14067;Villafranca de Córdoba;417;18;46;99;20;122;112;68;37;28;260;24
