fecha;pais_orig;mun_dest;turistas
2019-11-01;Suecia;Torrevieja;6457
2019-11-01;Suiza;Torrevieja;282
2019-11-01;Ucrania;Torrevieja;326
2019-11-01;Letonia;Torrevieja;58
2019-11-01;Bielorrusia / belarus;Torrevieja;62
2019-11-01;Estonia;Torrevieja;124
2019-11-01;Lituania;Torrevieja;152
2019-11-01;República Checa;Torrevieja;39
2019-11-01;Rusia;Torrevieja;1255
2019-11-01;Argelia;Torrevieja;180
2019-11-01;Marruecos;Torrevieja;99
2019-11-01;EE.UU.;Torrevieja;99
2019-11-01;Argentina;Torrevieja;40
2019-11-01;Brasil;Torrevieja;34
2019-11-01;Colombia;Torrevieja;87
2019-11-01;China;Torrevieja;40
2019-11-01;Kazajstan;Torrevieja;34
2019-12-01;Total;Torrevieja;21874
2019-12-01;Total Europa;Torrevieja;20971
2019-12-01;Total Unión Europea;Torrevieja;13297
2019-12-01;Total África;Torrevieja;343
2019-12-01;Total América;Torrevieja;280
2019-12-01;Total Sudamérica;Torrevieja;172
2019-12-01;Total Asia;Torrevieja;272
2019-12-01;Austria;Torrevieja;94
2019-12-01;Bélgica;Torrevieja;2265
2019-12-01;Bulgaria;Torrevieja;80
2019-12-01;Dinamarca;Torrevieja;306
2019-12-01;Finlandia;Torrevieja;1811
2019-12-01;Francia;Torrevieja;834
2019-12-01;Hungria;Torrevieja;48
2019-12-01;Irlanda;Torrevieja;433
2019-12-01;Islandia;Torrevieja;240
2019-12-01;Italia;Torrevieja;203
2019-12-01;Luxemburgo;Torrevieja;57
2019-12-01;Noruega;Torrevieja;2215
2019-12-01;Países Bajos;Torrevieja;613
2019-12-01;Polonia;Torrevieja;536
2019-12-01;Reino Unido;Torrevieja;3614
2019-12-01;Alemania;Torrevieja;1526
2019-12-01;Rumania;Torrevieja;48
2019-12-01;Suecia;Torrevieja;4106
2019-12-01;Suiza;Torrevieja;223
2019-12-01;Ucrania;Torrevieja;308
2019-12-01;Letonia;Torrevieja;66
2019-12-01;Bielorrusia / belarus;Torrevieja;43
2019-12-01;Estonia;Torrevieja;91
2019-12-01;Lituania;Torrevieja;97
2019-12-01;República Checa;Torrevieja;47
2019-12-01;Rusia;Torrevieja;1008
2019-12-01;Argelia;Torrevieja;175
2019-12-01;Marruecos;Torrevieja;122
2019-12-01;EE.UU.;Torrevieja;87
2019-12-01;Colombia;Torrevieja;113
2019-12-01;China;Torrevieja;208
2019-12-01;Kazajstan;Torrevieja;33
2020-01-01;Total;Torrevieja;25532
2020-01-01;Total Europa;Torrevieja;24554
2020-01-01;Total Unión Europea;Torrevieja;16156
2020-01-01;Total África;Torrevieja;413
2020-01-01;Total América;Torrevieja;263
2020-01-01;Total América del Norte;Torrevieja;124
2020-01-01;Total Sudamérica;Torrevieja;134
2020-01-01;Total Asia;Torrevieja;284
2020-01-01;Austria;Torrevieja;86
2020-01-01;Bélgica;Torrevieja;2881
2020-01-01;Bulgaria;Torrevieja;71
2020-01-01;Dinamarca;Torrevieja;404
2020-01-01;Finlandia;Torrevieja;1616
2020-01-01;Francia;Torrevieja;1027
2020-01-01;Hungria;Torrevieja;57
2020-01-01;Irlanda;Torrevieja;558
